id,name,description,owner,followers,tracks_total,public,created_at,updated_at
playlist_001,Ontario Hits 2020,The biggest hits from Ontario artists in 2020,spotify_canada,15420,50,True,2020-01-15T10:30:00Z,2020-12-31T15:45:00Z
playlist_002,Toronto Electronic,Electronic music scene from Toronto and GTA,dj_toronto_mix,8750,75,True,2019-06-20T14:15:00Z,2023-08-10T09:20:00Z
playlist_003,Canadian Indie Rock,Independent rock artists from across Canada with Ontario focus,indie_canada_curator,12300,60,True,2018-03-12T16:00:00Z,2023-07-25T11:30:00Z
playlist_004,Ontario Pop Stars,Pop music from Ontario's biggest stars,pop_music_ontario,25600,45,True,2017-11-08T12:45:00Z,2023-09-05T14:10:00Z
playlist_005,Electronic Classics,Classic electronic tracks popular in Ontario clubs,electronic_classics,9820,80,True,2015-09-30T18:20:00Z,2022-12-15T20:05:00Z
playlist_006,Funk & Soul Ontario,Groovy funk and soul music with Ontario connections,funk_soul_to,7450,35,True,2019-01-25T13:10:00Z,2023-06-18T16:25:00Z
playlist_007,Progressive Rock Toronto,Progressive and experimental rock from Toronto scene,prog_rock_to,5680,40,True,2020-04-18T11:05:00Z,2023-08-22T10:15:00Z
playlist_008,Classic Rock Ontario,Timeless rock classics beloved in Ontario,classic_rock_on,18900,65,True,2016-07-14T15:30:00Z,2023-05-30T12:40:00Z
playlist_009,Emotional Ballads,Heartfelt ballads for Ontario's contemplative moments,ballads_ontario,11250,30,True,2018-12-05T17:55:00Z,2023-04-12T19:20:00Z
playlist_010,Guitar Heroes,Showcasing Ontario's guitar virtuosos and favorites,guitar_ontario,14700,55,True,2017-02-28T09:40:00Z,2023-09-08T13:35:00Z
